video_id,query_billboard_rank,query_artist,query_title,video_title,search_rank,lead_search_term,search_tier,detected_names,detected_genres,detected_inst,detected_place,detected_date,true_audio_content,true_video_content,is_official_video,search_term_estimated_AC,search_term_estimated_VC,STV_prediction_AC_initial,STVA_prediction_AC,STV_prediction_VC,url
DqRC5tquyU0,0,gotye,somebody that i used to know,Gotye - Somebody That I Used To Know  (Lyrics),1.0,lyrics,0,,,,,,official,lyric,FALSE,official,lyric,official,official,lyric,https://www.youtube.com/watch?v=DqRC5tquyU0
toHUpXZRgTQ,0,gotye,somebody that i used to know,Gotye and Kimbra - Somebody That I Used To Know (Karaoke Version),1.0,karaoke,0,,,,,,instrumental,karaoke,FALSE,instrumental,karaoke,instrumental,instrumental,karaoke,https://www.youtube.com/watch?v=toHUpXZRgTQ
8V6Z41UyHOE,0,gotye,somebody that i used to know,GOTYE - Somebody That I Used To Know (Feat. Kimbra) - Live at the 2011 ARIA's,1.0,concert,0,,,,,2011,live,live,FALSE,live,live,live,live,live,https://www.youtube.com/watch?v=8V6Z41UyHOE
2F52daJLbUo,0,gotye,somebody that i used to know,Somebody That I Used to Know - Gotye | Anthony Lee Choreography,1.0,choreo,0,anthony lee,,,,,official,dance,FALSE,official,dance,official,official,dance,https://www.youtube.com/watch?v=2F52daJLbUo
6YzGOq42zLk,0,gotye,somebody that i used to know,"Gotye performing ""Somebody That I Used To Know"" on KCRW",1.0,live,0,,,,,,live,live,FALSE,live,live,live,live,live,https://www.youtube.com/watch?v=6YzGOq42zLk
SabPvySY5n8,0,gotye,somebody that i used to know,Somebody That I Used To Know - Gotye Guitar Tutorial/Chords (No Capo),1.0,tutorial,0,,,guitar,,,tutorial,tutorial,FALSE,tutorial,tutorial,tutorial,tutorial,tutorial,https://www.youtube.com/watch?v=SabPvySY5n8
fxfTL8etjAY,0,gotye,somebody that i used to know,Gotye - Somebody That I Used To Know ft. Kimbra (KDrew Dubstep Remix),1.0,remix,0,,dubstep,,,,remix,still,FALSE,remix,still,remix,remix,still,https://www.youtube.com/watch?v=fxfTL8etjAY
8UVNT4wvIGY,0,gotye,somebody that i used to know,Gotye - Somebody That I Used To Know (feat. Kimbra) - official video,1.0,title/artist,0,,,,,,official,official,TRUE,official,official,official,official,official,https://www.youtube.com/watch?v=8UVNT4wvIGY
X-Hog1jwVVs,0,gotye,somebody that i used to know,Gotye - Somebody That I Used to Know for Piano Solo HD,1.0,piano,0,,,piano,,,cover,live,FALSE,cover,live,cover,cover,live,https://www.youtube.com/watch?v=X-Hog1jwVVs
hOKuAigsrec,0,gotye,somebody that i used to know,Somebody That I Used To Know - Pentatonix (Gotye cover),2.0,cover,0,,,,,,cover,live,FALSE,cover,live,cover,cover,live,https://www.youtube.com/watch?v=hOKuAigsrec
sRzPD1TihjY,0,gotye,somebody that i used to know,Somebody That I Used to Know- Piano Lesson Gotye (Todd Downing),2.0,piano,0,todd,,piano,,,tutorial,tutorial,FALSE,cover,live,cover,cover,tutorial,https://www.youtube.com/watch?v=sRzPD1TihjY
-d_PZikUT2I,0,gotye,somebody that i used to know,Gotye - Somebody That I Used To Know (Feat. Kimbra) (4FRNT Remix),2.0,remix,0,,,,,,remix,still,FALSE,remix,still,remix,remix,still,https://www.youtube.com/watch?v=-d_PZikUT2I
CyujIwbSce0,0,gotye,somebody that i used to know,Gotye - Somebody That I Used to Know - Karaoke with Lyrics on Screen & Backing Vocals,2.0,karaoke,0,,,,,,instrumental,karaoke,FALSE,instrumental,karaoke,instrumental,instrumental,karaoke,https://www.youtube.com/watch?v=CyujIwbSce0
nHzzyH0egaA,0,gotye,somebody that i used to know,Gotye feat Kimbra - Somebody That I Used To Know contemporary by Vasya Kozar - Dance Centre Myway,2.0,dance,0,,,,,,official,dance,FALSE,official,dance,official,official,dance,https://www.youtube.com/watch?v=nHzzyH0egaA
te0Q1XwaTyo,0,gotye,somebody that i used to know,Somebody That I Used To Know  Live - Gotye and Kimbra (April 2  Michigan),3.0,concert,0,,,,michigan,2016/4/2,live,live,FALSE,live,live,live,live,live,https://www.youtube.com/watch?v=te0Q1XwaTyo
UXL_O5azpbE,0,gotye,somebody that i used to know,Somebody That I Used To Know - Free Tutorial - Fingerstyle cover - Michael Chapdelaine - tab,12.0,tutorial,0,michael,,,,,tutorial,tutorial,FALSE,tutorial,tutorial,cover,tutorial,live,https://www.youtube.com/watch?v=UXL_O5azpbE
miyx7UJXDMM,0,gotye,somebody that i used to know,Gotye - Somebody That I Used To Know (Acoustic Jake Coco and Madilyn Bailey Cover) on iTunes,15.0,cover,1,jake bailey,,,,,cover,live,FALSE,cover,live,cover,cover,live,https://www.youtube.com/watch?v=miyx7UJXDMM
cbnxsPmS-FI,0,gotye,somebody that i used to know,Somebody That I Used to Know - Gotye | Dance Cover,16.0,dance,1,,,,,,official,dance,FALSE,official,dance,official,official,dance,https://www.youtube.com/watch?v=cbnxsPmS-FI
8EKjFQ-QvXE,0,gotye,somebody that i used to know,Gotye - Somebody that I used to know - AUF DEUTSCH!,17.0,karaoke,1,,,,,,cover,live,FALSE,instrumental,karaoke,cover,cover,live,https://www.youtube.com/watch?v=8EKjFQ-QvXE
hpPMPcBQWNo,0,gotye,somebody that i used to know,Dance Remix Gotye   Somebody That I Used To Know Ft  Kimbra   Mizeree,19.0,dance,1,,,,,,remix,still,FALSE,official,dance,remix,remix,still,https://www.youtube.com/watch?v=hpPMPcBQWNo
O3V2nsIjZ8k,0,gotye,somebody that i used to know,"My Taratata - Katie Melua - Gotye/Noemie Wolfs ""Somebody that I used to know"" (2012)",19.0,live,1,katie,,,,2012,live,live,FALSE,live,live,live,live,live,https://www.youtube.com/watch?v=O3V2nsIjZ8k
YsvrPhwpUNM,0,gotye,somebody that i used to know,Somebody That I Used to Know (opb Gotye) by On A Sensual Note,20.0,concert,1,,,,,,cover,live,FALSE,live,live,live,cover,live,https://www.youtube.com/watch?v=YsvrPhwpUNM
Qt74jX2C1m0,0,gotye,somebody that i used to know,Somebody That I Used To Know - Gotye - Peter Hollens feat. Evynne - A cappella Cover,20.0,cover,1,peter,a cappella,,,,cover,other,FALSE,cover,live,cover,live,other,https://www.youtube.com/watch?v=Qt74jX2C1m0
d-Q28i1kEkg,0,gotye,somebody that i used to know,How to play: Gotye - Somebody that I used to know Advances. Original Piano lesson. Tutorial,21.0,piano,1,,,piano,,,tutorial,tutorial,FALSE,cover,live,cover,tutorial,tutorial,https://www.youtube.com/watch?v=d-Q28i1kEkg
oO3jYSm1kRI,0,gotye,somebody that i used to know,Gotye  Somebody That I Used To Know - Acapella version,21.0,title/artist,1,,,,,,cover,other,FALSE,official,official,cover,cover,other,https://www.youtube.com/watch?v=oO3jYSm1kRI
OZhDVe8CxtQ,0,gotye,somebody that i used to know,Gotye ft. Kimbra - Somebody that i used to know lyrics HQ HD,21.0,lyrics,1,,,,,,official,lyric,FALSE,official,lyric,official,official,lyric,https://www.youtube.com/watch?v=OZhDVe8CxtQ
mnmuZWVYgPM,0,gotye,somebody that i used to know,Gotye Somebody that I used to know,21.0,concert,1,,,,,,cover,live,FALSE,live,live,live,live,live,https://www.youtube.com/watch?v=mnmuZWVYgPM
Wd1tA_OQJBg,0,gotye,somebody that i used to know,Gotye - Somebody that I used to know choreography,21.0,choreo,1,,,,,,remix,dance,FALSE,official,dance,official,live,dance,https://www.youtube.com/watch?v=Wd1tA_OQJBg
4XlLgVsd-DI,0,gotye,somebody that i used to know,Zoom Karaoke ~ Somebody That I Used To Know Duet Version ~ Gotye feat  Kimbra ~ With Lyrics,21.0,karaoke,1,,,,,,instrumental,karaoke,FALSE,instrumental,karaoke,cover,cover,karaoke,https://www.youtube.com/watch?v=4XlLgVsd-DI
zkrdc7O9yN8,0,gotye,somebody that i used to know,beginner bass guitar lesson Gotye somebody that i used to know,22.0,guitar,1,,,bass & bass guitar & guitar,,,tutorial,tutorial,FALSE,cover,live,tutorial,tutorial,tutorial,https://www.youtube.com/watch?v=zkrdc7O9yN8
OJWqRJO9wnQ,0,gotye,somebody that i used to know,somebody that I used to know in live concert by Gotye,22.0,concert,1,,,,,,live,live,FALSE,live,live,live,live,live,https://www.youtube.com/watch?v=OJWqRJO9wnQ
VFyr8OVK_KQ,0,gotye,somebody that i used to know,Somebody That I Used To Know - Gotye (Piano Cover),22.0,piano,1,,,piano,,,cover,live,FALSE,cover,live,cover,cover,live,https://www.youtube.com/watch?v=VFyr8OVK_KQ
rg94YzZnmZ0,0,gotye,somebody that i used to know,Somebody That I Used To Know by Gotye | Choreography,23.0,choreo,1,,,,,,official,dance,FALSE,official,dance,official,official,dance,https://www.youtube.com/watch?v=rg94YzZnmZ0
IwPHy17Iu6E,0,gotye,somebody that i used to know,Somebody That I Used To Know - WOTE Parody! Key of Awesome #55!,23.0,guitar,1,key,parody,,,,cover,live,FALSE,cover,live,cover,official,live,https://www.youtube.com/watch?v=IwPHy17Iu6E
qVlnfU7MJDk,0,gotye,somebody that i used to know,Somebody That I Used To Know - Gotye ft. Kimbra (Piano Cover),23.0,piano,1,,,piano,,,cover,live,FALSE,cover,live,cover,cover,live,https://www.youtube.com/watch?v=qVlnfU7MJDk
fN_Xawhrk34,0,gotye,somebody that i used to know,'Somebody That I Used To Know' Gotye Choreography By Sam Griffin,24.0,choreo,1,sam griffin,,,,,official,dance,FALSE,official,dance,official,official,dance,https://www.youtube.com/watch?v=fN_Xawhrk34
